book_id,title,average_rating,isbn,ratings_count,publisher
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4.59,0345538374,101233,Ballantine Books
31,The Lord of the Rings (The Lord of the Rings  #1-3),4.5,0618517650,1710,Houghton Mifflin Harcourt
34,The Fellowship of the Ring (The Lord of the Rings  #1),4.36,0618346252,2128944,Houghton Mifflin Harcourt
35,The Lord of the Rings (The Lord of the Rings  #1-3),4.5,0618260587,1618,Houghton Mifflin Harcourt
36,The Lord of the Rings: Weapons and Warfare,4.53,0618391002,19822,Houghton Mifflin Harcourt
37,The Lord of the Rings: Complete Visual Companion,4.5,0618510826,359,Houghton Mifflin Harcourt
45,Agile Web Development with Rails: A Pragmatic Guide,3.84,097669400X,1430,Pragmatic Bookshelf
50,Hatchet (Brian's Saga  #1),3.72,0689840926,270244,Atheneum Books for Young Readers: Richard Jackson Books
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",4.0,1557344493,36,Teacher Created Resources
53,Guts: The True Stories behind Hatchet and the Brian Books,3.88,0385326505,2067,Delacorte Press
54,Molly Hatchet - 5 of the Best,4.33,1575606240,6,Cherry Lane Music Company
55,Hatchet Jobs: Writings on Contemporary Fiction,3.45,1595580271,99,The New Press
57,A Changeling for All Seasons (Changeling Seasons #1),3.76,1595962808,167,Changeling Press
58,Changeling (Changeling  #1),3.6,0670059676,978,Viking Juvenile
59,The Changeling Sea,4.06,0141312629,4454,Firebird
61,The Changeling,4.17,0595321801,1176,iUniverse
63,The Changeling,3.55,1590301943,301,Shambhala
66,The Changeling (Daughters of England  #15),3.98,0449146979,345,Ivy Books
67,The Known World,3.83,0061159174,29686,Amistad
68,The Known World,3.83,006076273X,55,HarperAudio
69,The Known World,3.83,0060749911,22,Harper
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,3.83,0273704745,1456,FT Press
72,Artesia: Adventures in the Known World,4.13,1932386106,52,Archaia
74,The John McPhee Reader (John McPhee Reader  #1),4.42,0374517193,562,Farrar  Straus and Giroux
75,Uncommon Carriers,3.95,0374280398,1630,Farrar Straus Giroux
76,Heirs of General Practice,4.17,0374519749,268,Farrar  Straus and Giroux
77,The Control of Nature,4.24,0374522596,3498,Farrar  Straus and Giroux
78,Annals of the Former World,4.34,0374518734,3115,Farrar  Straus and Giroux
79,Coming Into the Country,4.22,0374522871,5704,Farrar  Straus and Giroux
80,La Place de la Concorde Suisse,3.92,0374519323,698,Farrar  Straus and Giroux
81,Giving Good Weight,4.23,0374516006,542,Farrar  Straus and Giroux
83,Rising from the Plains,4.23,0374520658,1341,Farrar  Straus and Giroux
85,The Heidi Chronicles,3.75,0822205106,1423,Dramatists Play Service
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,3.84,0679734996,2766,Vintage
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,3.94,1596670231,31,Routledge
90,Simply Beautiful Beaded Jewelry,3.77,1581807740,62,North Light Books
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,4.46,0800793617,860,Chosen Books
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,3.68,0871202867,77,Association for Supervision & Curriculum Development
93,Heidi (Heidi  #1-2),3.99,0753454947,153317,Kingfisher
94,Getting Results with Curriculum Mapping,3.25,0871209993,55,ASCD
96,There's Always Enough: The Miraculous Move of God in Mozambique,4.46,1852402873,34,Sovereign World
98,What to Expect the First Year (What to Expect),3.89,0761129588,11797,Workman Publishing Company
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,3.82,0972016414,34,One Hour Entertainment
100,Simply Beautiful Beading: 53 Quick and Easy Projects,3.78,1581805632,78,North Light Books
103,God Emperor of Dune (Dune Chronicles  #4),3.84,0441294677,2785,Ace Books
105,Chapterhouse: Dune (Dune Chronicles #6),3.91,0441102670,38778,Ace Books
106,Dune Messiah (Dune Chronicles #2),3.88,0441172695,97494,Ace Books
107,Dreamer of Dune: The Biography of Frank Herbert,4.01,0765306476,784,Tor Books
109,Heretics of Dune (Dune Chronicles  #5),3.86,0399128980,272,Putnam
110,The Road to Dune,3.88,0765353709,4789,Tor Science Fiction
117,Heretics of Dune (Dune Chronicles #5),3.86,0441328008,45388,Ace Books
119,The Lord of the Rings: The Art of the Fellowship of the Ring,4.59,0618212906,26153,Houghton Mifflin Harcourt
122,The Power of One (The Power of One  #1),4.35,034541005X,69167,Ballantine Books
123,The Power of One (The Power of One  #1),4.35,0385732546,45,Delacorte Books for Young Readers
129,The Power of One: One Person  One Rule  One Month,4.28,0785260056,16,Thomas Nelson
130,Power of an Hour: Business and Life Mastery in One Hour a Week,3.34,0471780936,174,Wiley
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,3.67,0325001537,10,Heinemann Drama
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,3.48,006076287X,76,William Morrow Paperbacks
133,eBay for Dummies,3.5,0470045299,111,Wiley
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,3.62,0072262788,24,McGraw-Hill
137,Starting an eBay Business for Dummies,3.55,0764569244,55,Wiley
138,eBay: Top 100 Simplified Tips & Tricks,4.27,0471933821,9,Wiley
139,ebay Timesaving Techniques for Dummies,3.39,0764559915,22,Wiley
140,eBay Business All-in-One Desk Reference for Dummies,3.89,0764584383,17,Wiley
141,Ruby Cookbook,3.84,0596523696,166,O'Reilly Media
142,Ruby Ann's Down Home Trailer Park Cookbook,4.12,0806523492,50,Citadel
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,4.08,0806525363,13,Citadel
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,3.48,0596527314,64,O'Reilly Media
151,Anna Karenina,4.05,0143035002,16643,Penguin Classics
152,Anna Karenina,4.05,0451528611,109420,Signet
153,Anna Karenina,4.05,0140449175,2904,Penguin Books
154,CliffsNotes on Tolstoy's Anna Karenina,3.85,0822001837,16,Cliffs Notes
155,Anna Karenina,4.05,1593080271,9564,Barnes & Noble Classics
156,Anna Karenina,4.05,0486437965,474,Dover Publications
157,Anna Karenina,4.05,1593081774,303,Barnes & Noble
159,Dinner with Anna Karenina,2.99,0778322270,411,Mira Books
160,Tolstoy: Anna Karenina,4.19,0521313252,1204,Cambridge University Press
162,Untouchable,3.71,0140183957,3429,Penguin Books
163,The Untouchable,3.95,0679767479,2163,Vintage
164,The Untouchables,3.89,1568491980,613,Buccaneer Books
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,3.82,0743270797,308,Scribner
166,Dalit: The Black Untaouchables of India,4.2,0932863051,10,Clarity Press
168,Growing Up Untouchable in India: A Dalit Autobiography,3.65,0742508803,16,Rowman & Littlefield Publishers
171,The Evidence-Based Social Work Skills Book,3.4,0205358624,10,Pearson
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",4.0,1557344035,17,Teacher Created Resources
180,Wrinkles in Time,4.01,0380720442,1035,Harper Perennial
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),4.0,0821925326,36,EMC/Paradigm Publishing
182,Literature Circle Guide: A Wrinkle in Time,3.6,043927169X,15,Teaching Resources
201,Una arruga en el tiempo – A Wrinkle in Time,4.0,0606105263,6,Turtleback Books
204,The Long Shadow (The Morland Dynasty  #6),4.12,0751506435,376,Little  Brown Book Group
205,A Long Shadow (Inspector Ian Rutledge  #8),4.11,006078671X,3086,William Morrow
207,Long Way Round: Chasing Shadows Across the World,3.94,0743499344,352,Atria Books
208,A Shadow in Summer (Long Price Quartet  #1),3.6,0765313405,9852,Tor Books
213,New Hope for the Dead (Hoke Mosely #2),3.9,1400032490,821,Vintage Crime/Black Lizard
214,Sideswipe: A Hoke Moseley Novel,4.05,1400032482,731,Vintage Crime/Black Lizard
216,Miami Blues (Hoke Moseley #1),3.94,1400032466,2897,Vintage Crime/Black Lizard
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),3.89,0679732527,98,Vintage
231,I am Charlotte Simmons,3.42,0312424442,20888,Picador USA
237,Poetry for Young People: Edward Lear,3.91,0806930772,66,Sterling
244,The Puffin Book of Nonsense Verse,4.02,0140366601,81,Puffin
245,Henry Miller on Writing,4.22,0811201120,981,New Directions Publishing
247,Quiet Days in Clichy,3.69,080213016X,3381,Grove Press
249,Tropic of Cancer,3.68,0802131786,53206,Grove Press
250,Tropic of Capricorn,3.78,0802151825,14872,Grove Press
251,Nexus (The Rosy Crucifixion  #3),4.1,0802151787,3261,Grove Press
252,Sexus (The Rosy Crucifixion  #1),3.98,0802151809,7805,Grove Press
253,The Air-Conditioned Nightmare,3.83,0811201066,2699,New Directions
264,The Portrait of a Lady,3.78,0141439637,61640,Penguin Classics
269,The Portrait of a Lady,3.78,1593080964,392,Barnes  Noble Classics
277,Writing,3.75,1571290532,778,Brookline Books
278,The War,3.85,1565842219,963,The New Press
280,The Ravishing of Lol Stein,3.66,0394743040,2057,Pantheon
285,Love Letters,3.68,1851681825,203,One World (UK)
288,Kahlil Gibran: His Life and World,4.21,156656249X,35,Interlink Publishing Group
289,The Beloved: Reflections on the Path of the Heart,4.19,014019553X,328,Penguin Books
290,Jesus the Son of Man,3.98,0394431243,1308,Knopf
291,The Broken Wings,3.92,0806501901,6432,Citadel
292,Sand and Foam,4.08,067943920X,3015,Knopf
295,Treasure Island,3.83,0753453800,318753,Kingfisher
296,Treasure Island,3.83,1402714572,420,Sterling Children's Books
297,Treasure Island,3.83,1416500294,5967,Simon & Schuster
298,Treasure Island,3.83,0689854684,104,Atheneum Books for Young Readers
299,Treasure Island,3.83,0517221144,56,Gramercy Books
302,Treasure Island (Great Illustrated Classics),4.05,1577658051,91,Abdo Publishing Company
313,100 Years of Lynchings,4.61,0933121180,88,Black Classic Press
324,Cien años de soledad,4.07,0785950109,63,French & European
330,On Beyond Zebra!,4.04,0394800842,2815,Random House Books for Young Readers
332,The Wedding Clause,3.6,0821778250,95,Zebra
333,The Zebra Wall,3.44,0060733039,217,Greenwillow Books
337,El perfume: Historia de un asesino,4.02,8432216062,4136,Booket
348,The Door Into Summer,4.01,0345413997,17232,Del Rey
350,Stranger in a Strange Land,3.92,0441788386,251872,Ace
354,To Sail Beyond the Sunset,3.87,0441748600,10293,Ace Books
355,Job: A Comedy of Justice,3.78,0345316509,15970,Del Rey
356,Time for the Stars (Heinlein's Juveniles  #10),3.97,0765314932,6898,Tor Books
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),4.06,0671742515,67803,Pocket Books
359,The Salmon of Doubt (Dirk Gently  #3),3.93,0345455290,22091,Del Rey
362,Wish You Were Here: The Official Biography of Douglas Adams,4.14,0345476514,2623,Del Rey
367,Douglas Adams's Starship Titanic,3.6,0345368436,885,Ballantine Books
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,3.93,1417622857,5,Turtleback Books
382,The Phantom Tollbooth: A Children's Play in Two Acts,4.13,0573650969,100,Samuel French  Inc.
385,On Bullshit,3.57,0691122946,9358,Princeton University Press
386,Another Bullshit Night in Suck City,3.78,0393329402,9318,W. W. Norton & Company
394,Lincoln at Gettysburg: The Words That Remade America,4.14,0671867423,120,Simon & Schuster
397,The Gettysburg Address,4.53,0395883970,5239,HMH Books for Young Readers
399,Underworld,3.92,0684848155,1505,Scribner
400,Libra,3.99,0140156046,11857,Penguin
403,Americana,3.43,0140119485,393,Penguin Books
404,Running Dog,3.43,0679722947,1356,Vintage Contemporaries
406,Cosmopolis,3.22,0743244257,460,Scribner
407,Great Jones Street,3.48,0140179178,2492,Penguin Books
408,The Names,3.64,0679722955,3100,Vintage
409,Against the Day,4.13,159420120X,5296,Penguin Press
410,V.,3.96,0060930217,1415,Harper Perennial Modern Classics
411,The Crying of Lot 49,3.69,0060931671,2161,Harper Perennial
412,Gravity's Rainbow,4.01,0140283382,762,Penguin Books
413,Mason & Dixon,4.07,0312423209,8086,Picador USA
414,Vineland,3.69,0141180633,702,Penguin Classics
415,Gravity's Rainbow,4.01,0143039946,29764,Penguin Books
416,Slow Learner: Early Stories,3.5,0316724432,334,Back Bay Books
418,Been Down So Long It Looks Like Up To Me,3.8,0140189300,2473,Penguin Classics
420,The Year of Magical Thinking,3.89,140004314X,2656,Knopf Publishing Group
421,The White Album,4.17,0374522219,11889,Farrar Straus Giroux
422,A Book of Common Prayer,3.8,0679754865,2962,Vintage International
423,Where I Was From,3.86,0679752862,2842,Vintage
424,Slouching Towards Bethlehem,4.21,0374521727,26934,Farrar Straus Giroux
425,Democracy,3.81,0679754857,2070,Vintage International
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,4.5,0307264874,1564,Everyman's Library
428,Play It As It Lays,3.87,0374529949,23656,Farrar  Straus and Giroux
431,The New York Trilogy,3.89,0143039830,43200,Penguin Classics
432,City of Glass (The New York Trilogy  #1),3.79,0140097317,12410,Penguin Books
434,Ghosts (The New York Trilogy  #2),3.64,014009735X,3672,Penguin Books
435,The Locked Room (The New York Trilogy  #3),3.89,0940650762,2998,Sun and Moon Press
444,Pyramids of Montauk: Explorations in Consciousness,3.89,0963188925,74,Sky Books (NY)
446,The Brooklyn Follies,3.84,0312426232,17977,Picador
447,Moon Palace,3.94,0140115854,16099,Penguin Books
453,The Music of Chance,3.9,0140154078,361,Penguin Books
454,Travels in the Scriptorium,3.23,0805081453,6688,Henry Holt & Company
456,Leviathan,3.96,0140178139,11744,Penguin Books
463,The Red Notebook: True Stories,3.77,0811214982,2390,New Directions
466,Timbuktu / Leviathan / Moon Palace,4.38,2742741461,21,Actes Sud
475,Collapse: How Societies Choose to Fail or Succeed,3.93,0143036556,52522,Penguin Books Ltd. (London)
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,3.4,0446579785,213,Business Plus
477,Collapse of Complex Societies,4.15,052138673X,719,Cambridge University Press
478,Bowling Alone: The Collapse and Revival of American Community,3.8,0743203046,4762,Simon  Schuster
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,3.91,034543871X,62,Ballantine Books
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,4.39,0393318281,278,W. W. Norton  Company
493,My Inventions,4.01,1599869942,2862,Filiquarian Publishing  LLC.
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,3.78,0806519606,2829,Citadel
497,Nikola Tesla: A Spark of Genius,3.93,0822549204,105,Lerner Publications
498,Tesla Papers,4.13,0932813860,102,Adventures Unlimited Press
511,Boys of Summer,3.77,0373792689,478,Harlequin Blaze
515,Programming Ruby: The Pragmatic Programmers' Guide,4.03,0974514055,1577,Pragmatic Bookshelf
523,Golding's Lord of the Flies (Cliffs Notes),3.95,0764585975,73,Cliffs Notes
524,Lord of the Flies,3.68,0307281701,408,Listening Library (Audio)
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,4.11,0812969707,1693,Random House
534,We Were Not Like Other People,4.14,0060255080,1,HarperCollins Publishers
537,The Lovely Bones,3.81,0330485385,6485,Picador
538,The Lovely Bones,3.81,159413023X,367,Large Print Press
539,Lovely in Her Bones (Elizabeth MacPherson  #2),3.8,0345360354,1371,Ballantine Books
565,The Zen of CSS Design: Visual Enlightenment for the Web,3.98,0321303474,793,Peachpit Press
570,HTML  XHTML  and CSS (Visual Quickstart Guide),3.8,0321430840,549,Peachpit Press
576,1000 Record Covers,3.85,3822840858,288,Taschen
597,Killing Yourself to Live: 85% of a True Story,3.81,0743264460,26381,Scribner
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,3.73,0743236017,62089,Scribner
619,Vice (V  #8),3.51,0553572490,474,Bantam
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),3.77,0060589469,166046,HarperTorch
639,Once Upon a Cool Motorcycle Dude,4.08,0802789471,1773,Walker & Company
642,Guidebook to Zen and the Art of Motorcycle Maintenance,3.72,0688060692,286,William Morrow Paperbacks
643,Motorcycle Basics Techbook,3.85,185960515X,40,Haynes Manuals N. America  Inc.
650,LOGO Lounge: 2 000 International Identities by Leading Designers,3.93,1592530877,27,Rockport Publishers
655,The Death of Ivan Ilych And Other Stories,4.11,0451528808,7300,Signet Classics
656,War and Peace,4.11,0192833987,211671,Oxford University Press
658,The Kingdom of God Is Within You,4.13,0486451380,2403,Dover Publications
662,Atlas Shrugged,3.69,0452011876,322483,Plume
663,For the New Intellectual: The Philosophy of Ayn Rand,3.68,0451163087,2750,Signet Book
664,The Fountainhead,3.87,0452286751,1886,Dutton
665,The Virtue of Selfishness: A New Concept of Egoism,3.51,0451163931,11462,Signet
667,Anthem,3.63,0452281253,110952,NAL
668,We the Living,3.91,0451187849,23199,Signet
669,Capitalism: The Unknown Ideal,3.88,0451147952,3501,Signet
670,Letters of Ayn Rand,3.96,0452274044,18,NAL
672,Sailing for Dummies,3.95,0471791431,150,For Dummies
675,Sailing from Byzantium: How a Lost Empire Shaped the World,3.88,0553803816,646,Delacorte Press
676,Sailing Alone Around the Room: New and Selected Poems,4.23,0375755195,12180,Random House Trade Paperbacks
678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,3.62,1592283195,51,Lyons Press
681,"Natural Cures ""They"" Don't Want You to Know about",3.09,0975599518,1601,Alliance Publishing
685,The Natural,3.63,0374502005,8854,Farrar Straus Giroux
698,Digging to America,3.55,0307263940,17155,Alfred A. Knopf
700,Rereading America: Cultural Contexts for Critical Thinking and Writing,3.77,0312405545,44,Bedford Books
702,Modern Latin America,3.59,019517013X,234,Oxford University Press  USA
703,The Plot Against America,3.77,1400079497,33321,Vintage International
707,Naked Pictures of Famous People,3.59,0688171621,8703,Dey Street Books
759,Collected Stories,4.19,0060932686,6375,Harper Perennial Modern Classics
762,Crónica de una muerte anunciada,3.97,1400034957,7888,Vintage Espanol
763,Cien años de soledad,4.07,0307350428,130,Plaza y Janes
764,Del amor y otros demonios,3.98,0307350444,4508,Plaza y Janes
765,Living to Tell the Tale,3.99,140003454X,397,Vintage
766,Memoria de mis putas tristes,3.6,1400095808,5856,Vintage Espanol
771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,4.07,0375708111,32569,Vintage Books USA
775,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,4.29,086171492X,37,Wisdom Publications
787,The Mini Rough Guide to London,3.75,184353584X,1,Rough Guides
793,Best of London (Lonely Planet Best Of),3.83,1740594770,11,Lonely Planet
797,Lonely Planet Londres,4.03,8408064762,0,Geoplaneta
799,Out to Eat London 2002 (Lonely Planet Out to Eat),0.0,1740592050,0,Lonely Planet
815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,3.88,0618710531,6870,Mariner Books
816,Cryptonomicon,4.25,0060512806,83184,Avon
821,Le Réseau Kinakuta (Cryptonomicon  #2),4.1,2228894168,5,Payot
822,The Confusion (The Baroque Cycle  #2),4.26,0060733357,19320,William Morrow Paperbacks
823,Quicksilver (The Baroque Cycle  #1),3.93,0060593083,30872,HarperCollins Perennial
824,The Cobweb,3.61,0553383442,2465,Spectra Books
826,The Big U,3.25,0380816032,4657,William Morrow Paperbacks
827,The Diamond Age: Or  A Young Lady's Illustrated Primer,4.19,0553380966,71042,Spectra
828,Interface,3.68,0553383434,4731,Spectra
829,Odalisque (The Baroque Cycle  Vol. 1  Book 3),4.2,0060833181,1567,HarperTorch
830,Snow Crash,4.03,0553380958,188100,Bantam Books
834,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,4.16,1880685353,1474,Two Plus Two Publishing LLC
835,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,4.24,1880685337,1929,Two Plus Two Publishing LLC
840,The Design of Everyday Things,4.17,0465067107,18602,Basic Books
841,Emotional Design: Why We Love (or Hate) Everyday Things,3.95,0465051367,3702,Basic Books
842,The Psychology of Everyday Things,4.17,0465067093,265,Basic Books
848,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,4.27,0898709199,51,Ignatius Press
864,The Alchemist,3.86,0060887966,920,HarperOne
865,The Alchemist,3.86,0061122416,1631221,HarperCollins
866,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),4.57,142150460X,9013,VIZ Media LLC
868,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),4.56,1591169259,16666,VIZ Media LLC
869,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),4.57,1421504596,11451,VIZ Media LLC
870,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),4.5,1591169208,111091,VIZ Media LLC
871,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),4.55,1591169291,10752,VIZ Media LLC
872,The Illustrated Alchemist: A Fable about Following Your Dream,3.86,006019250X,251,HarperCollins Publishers
873,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),4.52,1591169232,14923,VIZ Media LLC
880,Pompeii,3.82,0812974611,26922,Random House Trade Paperbacks
888,The Last Days of Pompeii,3.6,158715739X,1156,Borgo Press
890,Of Mice and Men,3.87,0142000671,1755253,Penguin Books
900,The Game: Penetrating the Secret Society of Pickup Artists,3.74,0060554738,20529,It Books
902,The Westing Game,4.02,014240120X,142121,Puffin
903,The Egypt Game,3.83,0808553038,30231,Turtleback Books
929,Memoirs of a Geisha,4.11,1400096898,280309,Vintage Books USA
930,Memoirs of a Geisha,4.11,0739326228,1301083,Random House Large Print Publishing
931,Memoirs of a Geisha,4.11,0099498189,2122,Vintage
932,Memoirs of a Geisha: A Portrait of the Film,4.08,1557046832,145,Newmarket Press
933,Memoirs of a Geisha,4.11,0099771519,4189,Vintage
935,Geisha of Gion,3.93,074343059X,1556,Pocket Books
941,Love As A Foreign Language #5,3.44,1932664394,9,Oni Press
944,Jungle Love,3.41,0521750849,59,Cambridge University Press
955,The 5 Love Languages / The 5 Love Languages Journal,4.7,0802415318,22,Moody Publishers
960,Angels & Demons (Robert Langdon  #1),3.89,1416524797,2418736,Pocket Books
965,Ángeles y demonios (Robert Langdon  #1),3.89,849561877X,196,Umbriel
966,Angeles & Demonios,3.89,0972859896,65,FonoLibro
968,The Da Vinci Code (Robert Langdon  #2),3.84,0307277674,1679706,Anchor
969,The Da Vinci Code,3.84,076792603X,1120,Broadway Books
972,Da Vinci Code (Robert Langdon  #2),3.84,2266144340,377,Pocket
975,Deception Point,3.71,1416524800,4919,Pocket Books
977,Deception Point,3.71,0552151769,3353,Corgi Books
980,Deception Point,3.71,0593055071,61,Bantam Press
987,A Killing Rain (Louis Kincaid  #6),4.04,078601606X,456,Pinnacle
998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,4.03,0671015206,61760,Gallery Books
1005,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,4.18,1585424331,88897,Tarcherperigee
1007,Think and Grow Rich,4.18,1932429239,48,High Roads Media
1014,Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),3.58,0977616657,173,Pragmatic Bookshelf
1022,Read My Lips: Sexual Subversion and the End of Gender,3.95,1563410907,253,Firebrand Books
1032,Trump: The Art of the Deal,3.66,0345479173,12748,Ballantine Books
1052,The Richest Man in Babylon,4.26,0451205367,76451,Berkley Books
1053,The Richest Man in Babylon,4.26,1419349996,86,Recorded Books  Inc.
1059,Shibumi,4.21,1400098033,9498,Broadway Books
1067,1776,4.07,0743226720,166916,Simon  Schuster
1068,1776,4.22,0140481397,1299,Penguin Books
1073,The Crescent Obscured: The United States and the Muslim World  1776-1815,3.62,0226014908,31,University of Chicago Press
1078,The Good Earth (House of Earth  #1),3.98,1416500189,200744,Howard Publishing Co
1090,Purpose Driven Life - For Commuters: What on Earth Am I Here For?,3.93,0310258979,26,Zondervan
1097,Fast Food Nation: The Dark Side of the All-American Meal,3.74,0060838582,190039,Harper Perennial
1099,Fast Food Nation: What The All-American Meal is Doing to the World,3.74,0141006870,811,Penguin Books
1103,Snow Flower and the Secret Fan,4.07,0812968069,297533,Random House
1110,The Broker,3.78,0385340540,72361,Delta
1111,The Power Broker: Robert Moses and the Fall of New York,4.51,0394720245,11208,Vintage
1117,The Power Broker: A Novel (Christian Gillette  #3),3.75,0345480600,28,Ballantine Books
1120,Body For Life: 12 Weeks to Mental and Physical Strength,3.74,0060193395,3877,HarperCollins Publishers  Inc.
1121,Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,3.65,1579546013,401,Rodale Books
1123,Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,3.95,0972018417,814,High Point Media
1130,The Warren Buffett Way,4.13,0471743674,228,John Wiley & Sons
1138,The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,4.07,0471430455,39,Wiley
1164,Monkey Business: True Story of the Scopes Trial,3.15,0805431578,26,B Books
1167,Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),3.99,0679838864,11178,Random House Books for Young Readers
1169,Monkey Business,3.67,0373250711,3379,Red Dress Ink
1171,Liar's Poker,4.15,0140143459,22843,Penguin Books
1177,Liar's Poker: A Harry Garnish Mystery,3.31,0802732291,13,Walker & Company
1188,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,4.08,1841721476,8,Ryland Peters & Small
1191,Giada's Family Dinners,3.96,030723827X,14103,Clarkson Potter
1192,Everyday Italian: 125 Simple and Delicious Recipes,3.95,1400052580,40125,Clarkson Potter
1193,Everyday Pasta,4.09,0307346587,8822,Clarkson Potter
